CMDLINE C:\Users\henry\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\python.exe .\MemoryProfiling.py
MEM 1.660156 1619696796.0279
MEM 12.167969 1619696796.1410
MEM 18.308594 1619696796.2492
MEM 23.414062 1619696796.3569
MEM 27.175781 1619696796.4660
MEM 30.199219 1619696796.5765
MEM 32.441406 1619696796.6862
MEM 36.023438 1619696796.7943
MEM 39.558594 1619696796.9046
MEM 41.707031 1619696797.0126
MEM 44.152344 1619696797.1223
MEM 46.601562 1619696797.2310
MEM 50.496094 1619696797.3427
MEM 54.960938 1619696797.4544
MEM 57.039062 1619696797.5656
MEM 59.542969 1619696797.6783
MEM 62.394531 1619696797.7880
MEM 64.292969 1619696797.8957
MEM 66.054688 1619696798.0084
MEM 66.054688 1619696798.1166
MEM 66.062500 1619696798.2256
MEM 66.070312 1619696798.3402
MEM 66.078125 1619696798.4457
MEM 66.078125 1619696798.5535
MEM 66.132812 1619696798.6625
MEM 66.132812 1619696798.7709
MEM 66.132812 1619696798.8793
MEM 66.132812 1619696798.9887
MEM 66.132812 1619696799.0988
MEM 66.785156 1619696799.2102
MEM 110.015625 1619696799.3186
MEM 135.375000 1619696799.4303
MEM 157.410156 1619696799.5410
MEM 162.953125 1619696799.6497
MEM 161.843750 1619696799.7574
MEM 270.062500 1619696799.8642
MEM 414.300781 1619696799.9729
MEM 406.726562 1619696800.0815
MEM 459.140625 1619696800.1904
MEM 363.394531 1619696800.2996
MEM 504.613281 1619696800.4108
MEM 575.742188 1619696800.5201
MEM 621.683594 1619696800.6298
MEM 695.828125 1619696800.7445
MEM 594.687500 1619696800.8482
MEM 692.132812 1619696800.9579
MEM 487.636719 1619696801.0736
MEM 360.589844 1619696801.1793
MEM 414.402344 1619696801.2890
MEM 393.261719 1619696801.3977
MEM 231.863281 1619696801.5073
MEM 238.976562 1619696801.6170
MEM 240.031250 1619696801.7226
MEM 315.355469 1619696801.8293
MEM 383.996094 1619696801.9400
MEM 486.929688 1619696802.0483
MEM 615.015625 1619696802.1560
MEM 615.968750 1619696802.2626
MEM 615.972656 1619696802.3733
MEM 615.972656 1619696802.4830
MEM 617.898438 1619696802.5927
MEM 617.898438 1619696802.6984
MEM 617.898438 1619696802.8141
MEM 618.460938 1619696802.9258
MEM 618.464844 1619696803.0400
MEM 618.464844 1619696803.1547
MEM 618.468750 1619696803.2724
MEM 618.468750 1619696803.3921
MEM 618.468750 1619696803.5151
MEM 618.468750 1619696803.6281
MEM 618.949219 1619696803.7781
MEM 618.949219 1619696803.8931
MEM 618.949219 1619696803.9983
MEM 618.949219 1619696804.1061
MEM 618.949219 1619696804.2307
MEM 618.953125 1619696804.3484
MEM 618.957031 1619696804.4546
MEM 618.957031 1619696804.5609
MEM 618.957031 1619696804.6741
MEM 618.957031 1619696804.7828
MEM 618.957031 1619696804.8875
MEM 618.960938 1619696804.9972
MEM 618.960938 1619696805.1090
MEM 618.960938 1619696805.2486
MEM 618.960938 1619696805.3568
MEM 618.960938 1619696805.4635
MEM 618.960938 1619696805.5742
MEM 618.964844 1619696805.6869
MEM 618.968750 1619696805.7916
MEM 618.968750 1619696805.9073
MEM 618.968750 1619696806.0160
MEM 618.968750 1619696806.1248
MEM 618.968750 1619696806.2424
MEM 618.968750 1619696806.3567
MEM 618.968750 1619696806.4669
MEM 618.972656 1619696806.6659
