CMDLINE C:\Users\henry\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\python.exe .\MemoryProfiling.py
MEM 1.660156 1619696733.8946
MEM 11.914062 1619696734.0112
MEM 17.121094 1619696734.1200
MEM 19.105469 1619696734.2327
MEM 21.496094 1619696734.3414
MEM 25.136719 1619696734.4521
MEM 27.507812 1619696734.5594
MEM 29.902344 1619696734.6677
MEM 31.984375 1619696734.7788
MEM 33.902344 1619696734.8906
MEM 36.964844 1619696734.9990
MEM 38.394531 1619696735.1083
MEM 39.664062 1619696735.2150
MEM 41.906250 1619696735.3239
MEM 44.074219 1619696735.4325
MEM 47.136719 1619696735.5406
MEM 51.207031 1619696735.6510
MEM 55.894531 1619696735.7600
MEM 57.957031 1619696735.8667
MEM 59.546875 1619696735.9764
MEM 62.347656 1619696736.0865
MEM 64.191406 1619696736.1942
MEM 66.296875 1619696736.3059
MEM 106.167969 1619696736.4136
MEM 120.714844 1619696736.5253
MEM 163.621094 1619696736.6396
MEM 114.375000 1619696736.7484
MEM 173.230469 1619696736.8601
MEM 222.039062 1619696736.9678
MEM 219.734375 1619696737.0756
MEM 327.832031 1619696737.1873
MEM 409.062500 1619696737.2970
MEM 449.601562 1619696737.4146
MEM 290.613281 1619696737.5343
MEM 284.492188 1619696737.6520
MEM 413.515625 1619696737.7617
MEM 263.332031 1619696737.8714
MEM 263.332031 1619696737.9793
MEM 263.378906 1619696738.0868
MEM 263.453125 1619696738.1964
MEM 263.453125 1619696738.3116
MEM 263.457031 1619696738.4124
MEM 263.468750 1619696738.5193
MEM 263.468750 1619696738.6288
MEM 263.476562 1619696738.7388
MEM 263.476562 1619696738.8471
MEM 263.488281 1619696738.9569
MEM 323.605469 1619696739.0736
MEM 438.906250 1619696739.1753
MEM 435.757812 1619696739.2840
MEM 450.007812 1619696739.3947
MEM 474.136719 1619696739.5059
MEM 540.773438 1619696739.6127
MEM 468.625000 1619696739.7254
MEM 375.664062 1619696739.8341
MEM 229.691406 1619696739.9458
MEM 331.738281 1619696740.0515
MEM 212.351562 1619696740.1781
MEM 278.667969 1619696740.2830
MEM 338.929688 1619696740.3966
MEM 352.488281 1619696740.5017
MEM 250.753906 1619696740.6118
MEM 314.570312 1619696740.7186
MEM 317.828125 1619696740.8253
MEM 314.582031 1619696740.9387
MEM 219.621094 1619696741.0447
MEM 195.882812 1619696741.1538
MEM 193.117188 1619696741.2656
MEM 193.121094 1619696741.3747
MEM 193.125000 1619696741.4810
MEM 193.132812 1619696741.5892
MEM 193.136719 1619696741.6966
MEM 193.011719 1619696741.8056
MEM 193.019531 1619696741.9147
MEM 193.019531 1619696742.0223
MEM 193.039062 1619696742.1327
MEM 193.042969 1619696742.2408
MEM 193.054688 1619696742.3497
MEM 193.070312 1619696742.4595
MEM 193.074219 1619696742.5668
MEM 193.082031 1619696742.6771
MEM 193.082031 1619696742.7853
MEM 193.136719 1619696742.8940
MEM 193.148438 1619696743.0018
MEM 193.167969 1619696743.1106
MEM 193.171875 1619696743.2205
MEM 193.527344 1619696743.3296
MEM 194.003906 1619696743.4402
MEM 194.031250 1619696743.5458
MEM 194.554688 1619696743.6546
MEM 197.515625 1619696743.7633
MEM 208.070312 1619696743.8741
MEM 215.078125 1619696743.9817
MEM 228.320312 1619696744.0885
MEM 234.437500 1619696744.1982
MEM 233.226562 1619696744.3079
MEM 283.445312 1619696744.4216
MEM 331.687500 1619696744.5273
MEM 391.277344 1619696744.6350
MEM 495.507812 1619696744.7467
MEM 565.847656 1619696744.8565
MEM 609.285156 1619696744.9652
MEM 610.214844 1619696745.0791
MEM 610.238281 1619696745.1853
MEM 610.238281 1619696745.3160
MEM 610.242188 1619696745.4597
MEM 610.242188 1619696745.5754
MEM 612.167969 1619696745.6824
MEM 612.167969 1619696745.8020
MEM 612.167969 1619696745.9317
MEM 612.167969 1619696746.0474
MEM 612.167969 1619696746.1601
MEM 612.730469 1619696746.2927
MEM 612.734375 1619696746.4064
MEM 612.734375 1619696746.5211
MEM 612.925781 1619696746.6538
MEM 613.238281 1619696746.7561
MEM 613.238281 1619696746.8688
MEM 613.238281 1619696746.9745
MEM 613.238281 1619696747.0832
MEM 613.238281 1619696747.1949
MEM 613.238281 1619696747.3016
MEM 613.238281 1619696747.4163
MEM 613.238281 1619696747.5210
MEM 613.238281 1619696747.6278
MEM 613.242188 1619696747.7544
MEM 613.246094 1619696747.8591
MEM 613.246094 1619696747.9814
MEM 613.246094 1619696748.0931
MEM 613.246094 1619696748.2068
MEM 613.246094 1619696748.3210
MEM 613.246094 1619696748.4387
MEM 613.246094 1619696748.5534
MEM 613.250000 1619696748.6541
MEM 613.250000 1619696748.7633
MEM 613.250000 1619696748.8785
MEM 613.250000 1619696748.9872
MEM 613.250000 1619696749.0930
MEM 613.250000 1619696749.2226
MEM 613.250000 1619696749.3628
MEM 613.250000 1619696749.4755
MEM 613.253906 1619696749.5828
MEM 613.253906 1619696749.7015
MEM 613.257812 1619696749.8112
MEM 613.257812 1619696749.9299
MEM 613.257812 1619696750.0535
MEM 613.257812 1619696750.1752
MEM 613.257812 1619696750.2989
MEM 613.257812 1619696750.4205
MEM 613.257812 1619696750.5342
MEM 613.257812 1619696750.6469
MEM 613.257812 1619696750.7586
MEM 613.257812 1619696750.8948
MEM 613.261719 1619696751.0160
MEM 613.261719 1619696751.1393
MEM 613.261719 1619696751.2510
MEM 613.261719 1619696751.3821
MEM 613.261719 1619696751.4938
MEM 613.261719 1619696751.6185
MEM 613.261719 1619696751.7312
MEM 613.261719 1619696751.8339
MEM 613.261719 1619696751.9496
MEM 613.261719 1619696752.0549
MEM 613.261719 1619696752.1621
MEM 613.261719 1619696752.2718
MEM 613.261719 1619696752.3815
MEM 613.261719 1619696752.4942
MEM 613.261719 1619696752.6010
MEM 613.261719 1619696752.7186
MEM 613.261719 1619696752.8343
MEM 613.261719 1619696752.9460
MEM 613.261719 1619696753.0587
MEM 613.261719 1619696753.1680
MEM 613.261719 1619696753.2807
MEM 613.261719 1619696753.3884
MEM 613.261719 1619696753.4991
MEM 613.261719 1619696753.6068
MEM 613.261719 1619696753.7180
MEM 613.261719 1619696753.8327
MEM 613.261719 1619696753.9554
MEM 613.261719 1619696754.0731
MEM 613.261719 1619696754.1877
MEM 613.261719 1619696754.3044
MEM 613.261719 1619696754.4181
MEM 613.261719 1619696754.5268
MEM 613.261719 1619696754.6321
MEM 613.261719 1619696754.7478
MEM 613.261719 1619696754.8508
MEM 613.261719 1619696754.9645
MEM 613.261719 1619696755.0794
MEM 613.261719 1619696755.2220
MEM 613.261719 1619696755.3456
MEM 613.261719 1619696755.4733
MEM 613.261719 1619696755.5885
MEM 613.261719 1619696755.6947
MEM 613.261719 1619696755.8020
MEM 613.261719 1619696755.9132
MEM 613.261719 1619696756.0189
MEM 613.261719 1619696756.1296
MEM 613.261719 1619696756.2423
MEM 613.261719 1619696756.3470
MEM 613.261719 1619696756.4587
MEM 613.261719 1619696756.5654
MEM 613.261719 1619696756.6801
MEM 613.261719 1619696756.7858
MEM 613.261719 1619696756.8976
MEM 613.261719 1619696757.0083
MEM 613.261719 1619696757.1289
MEM 613.261719 1619696757.2302
MEM 613.261719 1619696757.3410
MEM 613.261719 1619696757.4517
MEM 613.261719 1619696757.5594
MEM 613.261719 1619696757.6781
MEM 613.261719 1619696757.7908
MEM 613.261719 1619696757.8995
MEM 613.261719 1619696758.0122
MEM 613.261719 1619696758.1189
MEM 613.261719 1619696758.2276
MEM 613.261719 1619696758.3408
MEM 613.261719 1619696758.4476
MEM 613.261719 1619696758.5543
MEM 613.261719 1619696758.6759
MEM 613.261719 1619696758.7916
MEM 613.261719 1619696758.9069
MEM 613.261719 1619696759.0242
MEM 613.261719 1619696759.1339
MEM 613.261719 1619696759.2406
MEM 613.261719 1619696759.3523
MEM 613.261719 1619696759.4623
MEM 613.261719 1619696759.5765
MEM 613.261719 1619696759.6817
MEM 613.261719 1619696759.7979
MEM 613.261719 1619696759.9211
MEM 613.261719 1619696760.0477
MEM 613.261719 1619696760.1624
MEM 613.261719 1619696760.2871
MEM 613.261719 1619696760.4008
MEM 613.261719 1619696760.5170
