CMDLINE C:\Users\henry\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\python.exe .\MemoryProfiling.py
MEM 1.628906 1619694407.5524
MEM 11.472656 1619694407.6691
MEM 17.214844 1619694407.7778
MEM 21.394531 1619694407.8865
MEM 24.429688 1619694407.9962
MEM 28.480469 1619694408.1057
MEM 31.398438 1619694408.2144
MEM 36.406250 1619694408.3261
MEM 42.191406 1619694408.4370
MEM 47.984375 1619694408.5480
MEM 51.609375 1619694408.6552
MEM 56.472656 1619694408.7675
MEM 59.750000 1619694408.8802
MEM 62.417969 1619694408.9888
MEM 65.984375 1619694409.0979
MEM 95.937500 1619694409.2079
MEM 139.562500 1619694409.3197
MEM 128.906250 1619694409.4288
MEM 164.660156 1619694409.5435
MEM 146.218750 1619694409.6532
MEM 177.140625 1619694409.7729
MEM 217.441406 1619694409.8926
MEM 281.871094 1619694410.0053
MEM 332.347656 1619694410.1140
MEM 385.375000 1619694410.2157
MEM 475.808594 1619694410.3274
MEM 321.585938 1619694410.4366
MEM 439.726562 1619694410.5456
MEM 356.097656 1619694410.6544
MEM 483.695312 1619694410.7626
MEM 492.246094 1619694410.9112
MEM 469.207031 1619694411.0289
MEM 426.261719 1619694411.1426
MEM 397.011719 1619694411.2443
MEM 310.316406 1619694411.3540
MEM 225.136719 1619694411.4647
MEM 218.429688 1619694411.5752
MEM 199.300781 1619694411.6819
MEM 198.828125 1619694411.7896
MEM 146.660156 1619694411.9003
MEM 214.031250 1619694412.0070
MEM 199.406250 1619694412.1164
MEM 199.406250 1619694412.2266
MEM 199.464844 1619694412.3373
MEM 67.398438 1619694412.4472
MEM 67.531250 1619694412.5585
MEM 118.996094 1619694412.6682
MEM 254.468750 1619694412.7849
MEM 345.902344 1619694412.8871
MEM 298.843750 1619694412.9978
MEM 192.597656 1619694413.1053
MEM 192.613281 1619694413.2169
MEM 192.675781 1619694413.3232
MEM 192.679688 1619694413.4322
MEM 192.753906 1619694413.5395
MEM 192.757812 1619694413.6463
MEM 192.757812 1619694413.7583
MEM 192.765625 1619694413.8640
MEM 223.789062 1619694413.9743
MEM 396.742188 1619694414.0821
MEM 320.316406 1619694414.1878
MEM 311.781250 1619694414.2967
MEM 197.914062 1619694414.4064
MEM 210.980469 1619694414.5172
MEM 210.980469 1619694414.6237
MEM 210.980469 1619694414.7333
MEM 210.980469 1619694414.8420
MEM 214.300781 1619694414.9496
MEM 216.070312 1619694415.0593
MEM 216.289062 1619694415.1699
MEM 228.859375 1619694415.2832
MEM 233.511719 1619694415.3915
MEM 226.820312 1619694415.5042
MEM 288.003906 1619694415.6129
MEM 358.882812 1619694415.7246
MEM 414.449219 1619694415.8363
MEM 506.070312 1619694415.9500
MEM 466.117188 1619694416.0507
MEM 447.812500 1619694416.1615
MEM 447.511719 1619694416.2771
MEM 448.515625 1619694416.3839
MEM 448.949219 1619694416.5155
MEM 449.324219 1619694416.6601
MEM 449.812500 1619694416.7878
MEM 450.242188 1619694416.9035
MEM 452.203125 1619694417.0252
MEM 452.203125 1619694417.1289
MEM 452.203125 1619694417.2378
MEM 452.207031 1619694417.3490
MEM 452.207031 1619694417.4612
MEM 452.210938 1619694417.5804
MEM 452.214844 1619694417.6951
MEM 452.714844 1619694417.8088
MEM 452.714844 1619694417.9215
MEM 452.714844 1619694418.0492
MEM 452.714844 1619694418.1619
MEM 452.714844 1619694418.2815
MEM 452.714844 1619694418.3952
MEM 452.714844 1619694418.5045
MEM 452.714844 1619694418.6142
MEM 452.722656 1619694418.7394
MEM 452.722656 1619694418.8511
MEM 452.785156 1619694418.9548
MEM 452.785156 1619694419.0760
MEM 452.785156 1619694419.1902
MEM 452.785156 1619694419.3079
MEM 452.789062 1619694419.4285
MEM 452.789062 1619694419.5403
MEM 452.792969 1619694419.6480
MEM 452.792969 1619694419.7567
MEM 452.792969 1619694419.8624
MEM 452.792969 1619694419.9841
MEM 452.796875 1619694420.0953
MEM 452.796875 1619694420.2035
MEM 452.800781 1619694420.3142
MEM 453.238281 1619694420.4249
MEM 453.238281 1619694420.5396
MEM 453.238281 1619694420.6444
MEM 453.238281 1619694420.7512
MEM 453.238281 1619694420.8604
MEM 453.238281 1619694420.9806
MEM 453.238281 1619694421.1043
MEM 453.242188 1619694421.2199
MEM 453.242188 1619694421.3297
MEM 453.242188 1619694421.4463
MEM 453.242188 1619694421.5660
MEM 453.242188 1619694421.6707
MEM 453.242188 1619694421.7785
MEM 453.242188 1619694421.8892
MEM 453.242188 1619694421.9989
MEM 453.242188 1619694422.1106
MEM 453.242188 1619694422.2223
MEM 453.242188 1619694422.3290
MEM 453.246094 1619694422.4387
MEM 453.246094 1619694422.5430
MEM 453.246094 1619694422.6602
MEM 453.421875 1619694422.7749
MEM 453.425781 1619694422.8901
MEM 453.425781 1619694422.9959
MEM 453.429688 1619694423.1145
MEM 453.429688 1619694423.2183
MEM 453.429688 1619694423.3310
MEM 453.429688 1619694423.4402
MEM 453.429688 1619694423.5454
MEM 453.429688 1619694423.6512
MEM 453.429688 1619694423.7629
MEM 453.429688 1619694423.8736
MEM 453.429688 1619694423.9848
MEM 453.429688 1619694424.0868
MEM 453.429688 1619694424.1961
MEM 453.429688 1619694424.3093
MEM 453.429688 1619694424.4235
MEM 453.429688 1619694424.5442
MEM 453.429688 1619694424.6499
MEM 453.429688 1619694424.7606
MEM 453.429688 1619694424.8733
MEM 453.429688 1619694425.0089
MEM 453.433594 1619694425.1206
MEM 453.433594 1619694425.2274
MEM 453.433594 1619694425.3432
MEM 453.433594 1619694425.4504
MEM 453.433594 1619694425.5606
MEM 453.433594 1619694425.6704
MEM 453.433594 1619694425.7880
MEM 453.433594 1619694425.9073
MEM 453.433594 1619694426.0179
MEM 453.433594 1619694426.1222
MEM 453.433594 1619694426.2295
MEM 453.433594 1619694426.3472
MEM 453.433594 1619694426.4529
MEM 453.433594 1619694426.5606
MEM 453.433594 1619694426.6912
MEM 453.433594 1619694426.7969
MEM 453.433594 1619694426.9186
MEM 453.433594 1619694427.0443
MEM 453.433594 1619694427.1505
MEM 453.437500 1619694427.2562
MEM 453.437500 1619694427.3769
MEM 453.441406 1619694427.4956
MEM 453.445312 1619694427.5988
MEM 453.445312 1619694427.7096
MEM 453.445312 1619694427.8163
MEM 453.445312 1619694427.9260
MEM 453.445312 1619694428.0387
MEM 453.445312 1619694428.1504
MEM 453.445312 1619694428.2571
MEM 453.445312 1619694428.3628
MEM 453.445312 1619694428.4795
MEM 453.445312 1619694428.5852
MEM 453.445312 1619694428.6935
MEM 453.449219 1619694428.7992
MEM 453.449219 1619694428.9139
MEM 453.449219 1619694429.0206
MEM 453.449219 1619694429.1258
MEM 453.449219 1619694429.2420
MEM 453.449219 1619694429.3463
MEM 453.449219 1619694429.4530
MEM 453.449219 1619694429.5607
MEM 453.449219 1619694429.6734
MEM 453.449219 1619694429.7821
MEM 453.449219 1619694429.8978
MEM 453.449219 1619694429.9995
MEM 453.453125 1619694430.1148
MEM 453.453125 1619694430.2195
MEM 453.457031 1619694430.3269
MEM 453.460938 1619694430.4414
MEM 453.460938 1619694430.5611
MEM 453.460938 1619694430.6758
MEM 453.460938 1619694430.7880
MEM 453.460938 1619694430.8927
MEM 453.460938 1619694431.0040
MEM 453.460938 1619694431.1087
MEM 453.460938 1619694431.2194
MEM 453.464844 1619694431.3281
MEM 453.464844 1619694431.4369
MEM 453.464844 1619694431.5456
MEM 453.464844 1619694431.6533
