CMDLINE C:\Users\henry\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\python.exe .\MemoryProfiling.py
MEM 232.917969 1619696883.9155
MEM 232.917969 1619696884.0233
MEM 232.566406 1619696884.1330
MEM 232.625000 1619696884.2417
MEM 232.800781 1619696884.3544
MEM 232.917969 1619696884.4601
MEM 232.976562 1619696884.5683
MEM 233.093750 1619696884.6801
MEM 233.210938 1619696884.7858
MEM 233.269531 1619696884.8953
MEM 233.386719 1619696885.0072
MEM 233.503906 1619696885.1134
MEM 233.621094 1619696885.2244
MEM 233.738281 1619696885.3324
MEM 233.855469 1619696885.4426
MEM 234.031250 1619696885.5513
MEM 234.148438 1619696885.6610
MEM 234.265625 1619696885.7727
MEM 234.382812 1619696885.8815
MEM 234.500000 1619696885.9915
MEM 234.617188 1619696886.0992
MEM 234.675781 1619696886.2099
MEM 234.855469 1619696886.3216
MEM 234.914062 1619696886.4305
MEM 235.031250 1619696886.5405
MEM 235.148438 1619696886.6474
MEM 235.265625 1619696886.7575
MEM 235.382812 1619696886.8674
MEM 235.500000 1619696886.9786
MEM 235.617188 1619696887.0879
MEM 235.734375 1619696887.1976
MEM 235.855469 1619696887.3083
MEM 235.972656 1619696887.4150
MEM 236.089844 1619696887.5257
MEM 236.207031 1619696887.6344
MEM 236.324219 1619696887.7441
MEM 236.441406 1619696887.8538
MEM 236.558594 1619696887.9636
MEM 236.617188 1619696888.0762
MEM 236.734375 1619696888.1820
MEM 236.851562 1619696888.2907
MEM 236.972656 1619696888.4024
MEM 237.148438 1619696888.5124
MEM 237.265625 1619696888.6221
MEM 237.324219 1619696888.7318
MEM 237.441406 1619696888.8435
MEM 237.562500 1619696888.9522
MEM 237.738281 1619696889.0679
MEM 237.796875 1619696889.1726
MEM 237.917969 1619696889.2843
MEM 238.035156 1619696889.3930
MEM 238.210938 1619696889.5037
MEM 238.328125 1619696889.6094
MEM 238.445312 1619696889.7191
MEM 238.562500 1619696889.8279
MEM 238.679688 1619696889.9384
MEM 238.796875 1619696890.0464
MEM 238.914062 1619696890.1546
MEM 239.031250 1619696890.2634
MEM 239.148438 1619696890.3731
MEM 239.265625 1619696890.4828
MEM 239.382812 1619696890.5925
MEM 239.441406 1619696890.7022
MEM 239.621094 1619696890.8089
MEM 239.738281 1619696890.9186
MEM 239.855469 1619696891.0264
MEM 240.031250 1619696891.1351
MEM 240.089844 1619696891.2445
MEM 240.207031 1619696891.3532
MEM 240.324219 1619696891.4627
MEM 240.441406 1619696891.5710
MEM 240.562500 1619696891.6843
MEM 240.679688 1619696891.7880
MEM 240.796875 1619696891.8967
MEM 240.914062 1619696892.0084
MEM 241.031250 1619696892.1151
MEM 241.148438 1619696892.2258
MEM 241.265625 1619696892.3346
MEM 241.382812 1619696892.4462
MEM 241.562500 1619696892.5559
MEM 241.679688 1619696892.6672
MEM 241.796875 1619696892.7759
MEM 241.914062 1619696892.8846
MEM 242.031250 1619696892.9933
MEM 242.148438 1619696893.1050
MEM 242.207031 1619696893.2153
MEM 242.324219 1619696893.3245
MEM 242.441406 1619696893.4335
MEM 242.558594 1619696893.5462
MEM 242.617188 1619696893.6659
MEM 242.734375 1619696893.7666
MEM 242.851562 1619696893.8763
MEM 242.910156 1619696893.9870
MEM 243.019531 1619696894.0965
MEM 243.136719 1619696894.2062
MEM 243.253906 1619696894.3159
MEM 243.375000 1619696894.4256
MEM 258.585938 1619696894.5398
MEM 73.707031 1619696894.6456
MEM 68.148438 1619696894.7543
