CMDLINE C:\Users\henry\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\python.exe .\MemoryProfiling.py
MEM 1.660156 1619694238.4711
MEM 11.312500 1619694238.5818
MEM 16.101562 1619694238.6906
MEM 17.246094 1619694238.7973
MEM 21.156250 1619694238.9050
MEM 23.378906 1619694239.0137
MEM 26.234375 1619694239.1213
MEM 28.847656 1619694239.2284
MEM 30.972656 1619694239.3377
MEM 33.375000 1619694239.4470
MEM 34.964844 1619694239.5587
MEM 38.164062 1619694239.6744
MEM 40.300781 1619694239.7891
MEM 42.656250 1619694239.8978
MEM 44.429688 1619694240.0065
MEM 46.250000 1619694240.1262
MEM 49.218750 1619694240.2379
MEM 53.171875 1619694240.3482
MEM 56.664062 1619694240.4589
MEM 59.511719 1619694240.5708
MEM 62.386719 1619694240.6807
MEM 65.718750 1619694240.7920
MEM 86.316406 1619694240.9027
MEM 89.742188 1619694241.0089
MEM 183.808594 1619694241.1182
MEM 203.644531 1619694241.2249
MEM 165.250000 1619694241.3366
MEM 117.640625 1619694241.4463
MEM 208.078125 1619694241.5540
MEM 217.609375 1619694241.6637
MEM 218.726562 1619694241.7854
MEM 218.726562 1619694241.9140
MEM 218.976562 1619694242.0277
MEM 218.976562 1619694242.1724
MEM 218.976562 1619694242.2801
MEM 219.226562 1619694242.3858
MEM 219.226562 1619694242.4980
MEM 219.226562 1619694242.6163
MEM 219.226562 1619694242.7190
MEM 219.226562 1619694242.8437
MEM 219.226562 1619694242.9534
MEM 219.226562 1619694243.0621
MEM 219.226562 1619694243.1718
MEM 219.226562 1619694243.2826
MEM 219.226562 1619694243.3899
MEM 219.226562 1619694243.4986
MEM 219.226562 1619694243.6083
MEM 219.265625 1619694243.7180
MEM 219.265625 1619694243.8287
MEM 219.265625 1619694243.9384
MEM 219.265625 1619694244.0441
MEM 219.265625 1619694244.3992
MEM 219.265625 1619694244.5089
MEM 219.347656 1619694244.6181
MEM 219.375000 1619694244.7258
MEM 219.382812 1619694244.8365
MEM 219.417969 1619694244.9435
MEM 219.417969 1619694245.0527
MEM 219.417969 1619694245.1619
MEM 219.417969 1619694245.2711
MEM 219.417969 1619694245.3798
MEM 219.417969 1619694245.4886
MEM 219.417969 1619694245.5953
MEM 219.417969 1619694245.7080
MEM 219.417969 1619694245.8237
MEM 219.417969 1619694245.9404
MEM 219.417969 1619694246.0461
MEM 220.027344 1619694246.1623
MEM 221.875000 1619694246.2745
MEM 221.875000 1619694246.4092
MEM 221.875000 1619694246.5214
MEM 221.875000 1619694246.6370
MEM 221.875000 1619694246.7567
MEM 221.875000 1619694246.8844
MEM 221.875000 1619694247.0125
MEM 221.875000 1619694247.1305
MEM 221.875000 1619694247.2325
MEM 221.875000 1619694247.3395
MEM 221.875000 1619694247.4495
MEM 221.875000 1619694247.5606
MEM 221.875000 1619694247.6729
MEM 221.875000 1619694247.7865
MEM 221.875000 1619694247.8943
MEM 221.875000 1619694248.0100
MEM 221.875000 1619694248.1229
MEM 221.875000 1619694248.2309
MEM 221.875000 1619694248.3450
MEM 221.875000 1619694248.4530
MEM 221.875000 1619694248.5650
MEM 221.875000 1619694248.6749
MEM 221.875000 1619694248.7809
MEM 221.875000 1619694248.8929
MEM 221.875000 1619694249.0090
MEM 221.875000 1619694249.1200
MEM 221.875000 1619694249.2369
MEM 221.875000 1619694249.3397
MEM 72.640625 1619694249.4472
MEM 64.636719 1619694249.5581
